Date,Death,Death_increased,hospitalized,Negative_test,NegativeIncrease,Positive_test,PositiveIncrease,state,Recovered
20210307,305.0,0,1293.0,,0,56886.0,0,AK,
20210307,10148.0,-1,45976.0,1931711.0,2087,499819.0,408,AL,295690.0
20210307,5319.0,22,14926.0,2480716.0,3267,324818.0,165,AR,315517.0
20210307,0.0,0,,2140.0,0,0.0,0,AS,
20210307,16328.0,5,57907.0,3073010.0,13678,826454.0,1335,AZ,
20210307,54124.0,258,,,0,3501394.0,3816,CA,
20210307,5989.0,3,23904.0,2199458.0,0,436602.0,840,CO,
20210307,7704.0,0,,,0,285330.0,0,CT,
20210307,1030.0,0,,,0,41419.0,146,DC,29570.0
20210307,1473.0,9,,545070.0,917,88354.0,215,DE,
20210307,32266.0,66,82237.0,9339038.0,19166,1909209.0,4024,FL,
20210307,17906.0,1,56797.0,,0,1023487.0,1709,GA,
20210307,133.0,0,,112887.0,0,7749.0,0,GU,7590.0
20210307,445.0,1,2226.0,,0,28699.0,53,HI,
20210307,5558.0,6,,1044418.0,1299,282384.0,257,IA,320054.0
20210307,1879.0,3,7184.0,505964.0,535,172931.0,104,ID,96017.0
20210307,23014.0,12,,,0,1198335.0,1068,IL,
20210307,12737.0,11,43217.0,2483156.0,4643,667262.0,746,IN,
20210307,4812.0,0,9387.0,974686.0,0,295861.0,0,KS,
20210307,4819.0,13,19457.0,,0,410709.0,525,KY,48145.0
20210307,9748.0,32,,5261679.0,20578,433785.0,740,LA,415954.0
20210307,16417.0,43,19713.0,4404792.0,8028,591356.0,1425,MA,508745.0
20210307,7955.0,14,35651.0,3034546.0,2050,387319.0,709,MD,9703.0
20210307,706.0,2,1570.0,,0,45794.0,159,ME,12840.0
20210307,16658.0,0,,,0,656072.0,0,MI,549881.0
20210307,6550.0,4,25978.0,3058514.0,8218,490011.0,895,MN,476055.0
20210307,8161.0,0,,1878583.0,2950,480643.0,291,MO,
20210307,2.0,0,4.0,17429.0,0,145.0,1,MP,29.0
20210307,6808.0,3,9162.0,1459374.0,0,297581.0,260,MS,278162.0
20210307,1381.0,0,4630.0,,0,100914.0,72,MT,97943.0
20210307,11502.0,0,,,0,872176.0,0,NC,
20210307,1478.0,0,3880.0,305912.0,-109,100391.0,34,ND,98326.0
20210307,2113.0,0,6237.0,771128.0,542,203026.0,373,NE,157144.0
20210307,1184.0,3,1131.0,579582.0,396,76861.0,166,NH,73615.0
20210307,23574.0,17,64396.0,10186941.0,0,812609.0,2519,NJ,
20210307,3808.0,12,13252.0,,0,186922.0,180,NM,156554.0
20210307,5037.0,1,,1131758.0,1829,296190.0,730,NV,
20210307,39029.0,59,,,0,1681169.0,6789,NY,
20210307,17656.0,0,50881.0,,0,978471.0,735,OH,925655.0
20210307,4534.0,0,24332.0,3146300.0,0,428997.0,461,OK,412177.0
20210307,2296.0,3,8714.0,,0,157079.0,195,OR,
20210307,24349.0,32,,3942124.0,6592,948643.0,1658,PA,861756.0
20210307,2062.0,3,,305972.0,0,101632.0,305,PR,91987.0
20210307,2547.0,0,9020.0,677570.0,1421,128781.0,265,RI,
20210307,8754.0,35,20725.0,4657179.0,25856,525865.0,1408,SC,218863.0
20210307,1900.0,2,6705.0,314540.0,524,113589.0,211,SD,109531.0
20210307,11543.0,0,18870.0,,0,782206.0,0,TN,756793.0
20210307,44451.0,84,,,0,2686818.0,2953,TX,2502609.0
20210307,1976.0,1,14891.0,1560293.0,3204,374850.0,412,UT,358958.0
20210307,9596.0,77,24661.0,,0,585700.0,1163,VA,
20210307,25.0,0,,46167.0,0,2714.0,0,VI,2559.0
20210307,208.0,0,,320060.0,643,16083.0,119,VT,13384.0
20210307,5041.0,0,19599.0,,0,344532.0,664,WA,
20210307,7106.0,4,26457.0,2647864.0,3521,621654.0,377,WI,553203.0
20210307,2325.0,2,,,0,133445.0,155,WV,125383.0
20210307,682.0,0,1391.0,182264.0,0,54764.0,0,WY,53550.0
20210306,305.0,0,1293.0,,0,56886.0,0,AK,
20210306,10149.0,27,45976.0,1929624.0,4866,499411.0,524,AL,295690.0
20210306,5297.0,14,14915.0,2477449.0,4711,324653.0,327,AR,315181.0
20210306,0.0,0,,2140.0,0,0.0,0,AS,
20210306,16323.0,54,57863.0,3059332.0,8442,825119.0,1735,AZ,
20210306,53866.0,418,,,0,3497578.0,4452,CA,
20210306,5986.0,0,23886.0,2199458.0,5505,435762.0,1108,CO,
20210306,7704.0,0,,,0,285330.0,0,CT,
20210306,1030.0,3,,,0,41273.0,151,DC,29470.0
20210306,1464.0,11,,544153.0,1362,88139.0,265,DE,
20210306,32200.0,107,82145.0,9319872.0,23282,1905185.0,4587,FL,
20210306,17905.0,90,56762.0,,0,1021778.0,2269,GA,
20210306,133.0,0,,112887.0,0,7749.0,1,GU,7590.0
20210306,444.0,1,2226.0,,0,28646.0,85,HI,
20210306,5552.0,3,,1043119.0,1515,282127.0,362,IA,319780.0
